The Legend of Zelda: A Link to the Past / Four Swords	9.5	Nintendo	Nintendo
Super Mario Advance 4: Super Mario Bros. 3	9.4	Nintendo	Nintendo
Mario Kart: Super Circuit	9.3	Intelligent Systems	Nintendo
Super Mario World: Super Mario Advance 2	9.2	Nintendo	Nintendo
Metroid Fusion	9.2	Nintendo	Nintendo
Advance Wars	9.2	Intelligent Systems	Nintendo
Metroid: Zero Mission	9.1	Nintendo	Nintendo
Golden Sun	9.1	Camelot Software Planning	Nintendo
Castlevania: Circle of the Moon	9.1	KCEK	Konami
Castlevania: Aria of Sorrow	9.1	KCET	Konami
Mario & Luigi: Superstar Saga	9.0	Alphadream Corporation	Nintendo
Fire Emblem	9.0	Intelligent Systems	Nintendo
WarioWare, Inc.: Mega Microgame$!	8.9	Nintendo	Nintendo
The Legend of Zelda: The Minish Cap	8.9	Flagship	Nintendo
Fire Emblem: The Sacred Stones	8.9	Intelligent Systems	Nintendo
Final Fantasy Tactics Advance	8.9	Square Enix	Square Enix
Advance Wars 2: Black Hole Rising	8.9	Intelligent Systems	Nintendo
WarioWare: Twisted!	8.8	Nintendo	Nintendo
Wario Land 4	8.8	Nintendo	Nintendo
Tactics Ogre: The Knight of Lodis	8.8	Quest	Atlus
Pokemon Emerald Version	8.8	Game Freak	Nintendo
Bomberman Tournament	8.8	Amble	Activision
Astro Boy: Omega Factor	8.8	Hitmaker	Sega
Sword of Mana	8.7	Brownie Brown	Nintendo
Sonic Advance	8.7	Sonic Team	THQ
Golden Sun: The Lost Age	8.7	Camelot Software Planning	Nintendo
Donkey Kong Country 2: Diddy's Kong Quest	8.7	Rare Ltd.	Nintendo
Castlevania: Harmony of Dissonance	8.7	KCET	Konami
Mario Tennis: Power Tour	8.6	Camelot Software Planning	Nintendo
Kirby & the Amazing Mirror	8.6	Flagship	Nintendo
F-Zero: Maximum Velocity	8.6	Nd Cube	Nintendo
Dragon Ball Z: The Legacy of Goku II	8.6	Webfoot Technologies	Atari SA
Donkey Kong Country	8.6	Rare Ltd.	Nintendo
Castlevania Double Pack	8.6	KCET	Konami
The Lord of the Rings: The Third Age (2004)	8.5	Griptonite Games	EA Games
Pokemon FireRed Version	8.5	Game Freak	Nintendo
Kingdom Hearts: Chain of Memories	8.5	Jupiter Corporation	Square Enix
Drill Dozer	8.5	Game Freak	Nintendo
Breath of Fire II	8.5	Capcom	Capcom
The Legend of Zelda	8.4	Nintendo	Nintendo
Super Mario Advance	8.4	Nintendo	Nintendo
Summon Night: Swordcraft Story 2	8.4	Flight-Plan	Atlus
Spider-Man: Mysterio's Menace	8.4	Vicarious Visions	Activision
Puyo Pop	8.4	Sonic Team	THQ
Pokemon Ruby Version	8.4	Game Freak	Nintendo
Pokemon LeafGreen Version	8.4	Game Freak	Nintendo
Metal Slug Advance	8.4	Noise Factory	SNK Playmore
Max Payne (2003)	8.4	Mobius Entertainment	Rockstar Games
Mario Golf: Advance Tour	8.4	Camelot Software Planning	Nintendo
Klonoa 2: Dream Champ Tournament	8.4	Now Production	Namco
F-Zero: GP Legend	8.4	Suzak	Nintendo
Dragon Ball: Advanced Adventure	8.4	Dimps Corporation	Atari SA
Sonic Advance 2	8.3	Dimps Corporation	THQ
Shining Force: Resurrection of the Dark Dragon	8.3	Amusement Vision	Atlus
Rayman 3	8.3	Ubisoft	Ubisoft
Racing Gears Advance	8.3	Orbital Media, Inc.	Orbital Media, Inc.
Metroid	8.3	Nintendo	Nintendo
Kirby: Nightmare in Dream Land	8.3	HAL Labs	Nintendo
Gunstar Super Heroes	8.3	Treasure	Sega
Final Fight One	8.3	Sun-Tec	Capcom
Donkey Kong Country 3: Dixie Kong's Double Trouble!	8.3	Rare Ltd.	Nintendo
Boktai: The Sun Is in Your Hand	8.3	KCEJ	Konami
Yu-Gi-Oh! GX: Duel Academy	8.2	Konami	Konami
The Scorpion King: Sword of Osiris	8.2	WayForward	Universal Interactive
Tekken Advance	8.2	Eighting/Raizing	Namco
Super Robot Taisen: Original Generation 2	8.2	Banpresto	Atlus
Super Monkey Ball Jr.	8.2	Realism Ltd	THQ
Harvest Moon: More Friends of Mineral Town	8.2	TOSE	Natsume
GT Advance Championship Racing	8.2	MTO	THQ
Dragon Ball Z: Buu's Fury	8.2	Webfoot Technologies	Atari SA
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006	8.1	Konami	Konami
Yu-Gi-Oh! The Eternal Duelist Soul	8.1	KCEJ	Konami
Teenage Mutant Ninja Turtles (Game Boy Advance)	8.1	Konami	Konami
Pokemon Pinball: Ruby & Sapphire	8.1	Jupiter Corporation	Nintendo
Mega Man Zero 2	8.1	Inti Creates	Capcom
Mega Man Battle Network 2	8.1	Capcom	Capcom
Mario vs. Donkey Kong (2004)	8.1	Nintendo Software Technology	Nintendo
Harvest Moon: Friends of Mineral Town	8.1	TOSE	Natsume
Harry Potter and the Prisoner of Azkaban (2004)	8.1	Griptonite Games	EA Games
Duke Nukem Advance	8.1	Torus Games	Take-Two Interactive
The Legend of Spyro: The Eternal Night (2007)	8.0	Amaze Entertainment	Sierra Entertainment
The King of Fighters EX2: Howling Blood	8.0	Marvelous Entertainment	Atlus
Sonic Battle	8.0	Sonic Team	THQ
Shaman King: Master of Spirits 2	8.0	KCEJ	Konami
Pokemon Mystery Dungeon: Red Rescue Team	8.0	ChunSoft	Nintendo
Mega Man Zero 3	8.0	Inti Creates	Capcom
Medal of Honor: Infiltrator	8.0	Netherock Ltd.	EA Games
Fire Pro Wrestling (2001)	8.0	Vaill	Bam Entertainment
Disney's Lilo & Stitch (2002)	8.0	Digital Eclipse	Disney Interactive
Crash Bandicoot: The Huge Adventure	8.0	Vicarious Visions	Universal Interactive
Zone of the Enders: The Fist of Mars	7.9	WinkySoft	Konami
The Pinball of the Dead	7.9	Sega	THQ
Tak and the Power of Juju (2003)	7.9	Helixe	THQ
Super Dodge Ball Advance	7.9	Million	Atlus
Pac-Man Collection	7.9	Mass Media	Namco
Monster Rancher Advance 2	7.9	Tecmo	Tecmo
Mega Man Zero 4	7.9	Inti Creates	Capcom
Mega Man Battle Network	7.9	Capcom	Capcom
Mega Man & Bass	7.9	Capcom	Capcom
Lunar Legend	7.9	Game Arts	Ubisoft
Breath of Fire	7.9	Capcom	Capcom
Boktai 2: Solar Boy Django	7.9	KCEJ	Konami
Summon Night: Swordcraft Story	7.8	Flight-Plan	Atlus
Rebelstar: Tactical Command	7.8	Codo Games	Namco
Onimusha Tactics	7.8	Capcom	Capcom
Lady Sia	7.8	RFX Interactive	TDK Mediactive
Crash Bandicoot 2: N-Tranced	7.8	Vicarious Visions	Universal Interactive
Yoshi Topsy-Turvy	7.7	Artoon	Nintendo
Sonic Pinball Party	7.7	Sonic Team	Sega
Mega Man Battle Network 3: White Version	7.7	Capcom	Capcom
Hamtaro: Ham-Ham Games	7.7	Alphadream Corporation	Nintendo
Disney's Kim Possible 2: Drakken's Demise	7.7	Artificial Mind and Movement	Disney Interactive
Car Battler Joe	7.7	Ancient	Natsume
Spyro 2: Season of Flame	7.6	Digital Eclipse	Universal Interactive
Shonen Jump's One Piece	7.6	Dimps Corporation	Bandai
Monster Rancher Advance	7.6	Tecmo	Tecmo
Banjo-Kazooie: Grunty's Revenge	7.6	Rare Ltd.	THQ
Hamtaro: Ham-Ham Heartbreak	7.5	Pax Softonica	Nintendo
Frogger's Adventures 2: The Lost Wand	7.5	Konami	Konami
Dragon Ball Z: Supersonic Warriors	7.5	Cavia Inc.	Atari SA
Spyro: Season of Ice	7.4	Digital Eclipse	Universal Interactive
Lara Croft - Tomb Raider: The Prophecy	7.4	Ubisoft Milan	Ubisoft
Jet Grind Radio	7.4	Vicarious Visions	THQ
Dr. Mario / Puzzle League	7.4	TOSE	Nintendo
Zelda II: The Adventure of Link	7.3	Nintendo	Nintendo
Driver 2 Advance	7.3	Sennari Interactive	Infogrames
Contra III: The Alien Wars	7.3	TOSE	Konami
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel	7.2	KCEJ	Konami
Yu-Gi-Oh! World Championship Tournament 2004	7.2	KCEJ	Konami
Super Robot Taisen: Original Generation	7.2	Banpresto	Atlus
Spyro: Attack of the Rhynocs	7.2	Digital Eclipse	Universal Interactive
Shrek 2 (2004)	7.2	Vicarious Visions	Activision
Mega Man Battle Network 6: Cybeast Gregar	7.2	Capcom	Capcom
Ballistic: Ecks vs. Sever II	7.2	Crawfish Interactive	Bam Entertainment
Yu-Gi-Oh! The Sacred Cards	7.1	Konami	Konami
