Metal Torrent	9.6	Arika	Nintendo
Flipnote Studio	9.3	Nintendo	Nintendo
Pokemon HeartGold Version	9.2	Game Freak	Nintendo
Pokemon SoulSilver Version	9.1	Game Freak	Nintendo
Pokemon Mystery Dungeon: Explorers of Sky	9.1	ChunSoft	Nintendo
Mario Kart DS	9.1	Nintendo	Nintendo
The Legend of Zelda: Phantom Hourglass	9.0	Nintendo	Nintendo
Mario & Luigi: Bowser's Inside Story	9.0	Alphadream Corporation	Nintendo
Advance Wars: Dual Strike	9.0	Intelligent Systems	Nintendo
Pokemon Platinum Version	8.9	Game Freak	Nintendo
Nine Hours, Nine Persons, Nine Doors	8.9	ChunSoft	Aksys Games
New Super Mario Bros.	8.9	Nintendo	Nintendo
Final Fantasy XII: Revenant Wings	8.9	Think and Feel	Square Enix
Final Fantasy Tactics A2: Grimoire of the Rift	8.9	Square Enix	Square Enix
Castlevania: Dawn of Sorrow	8.9	Konami	Konami
Meteos	8.8	Q Entertainment	Nintendo
Kirby Super Star Ultra	8.8	HAL Labs	Nintendo
The Legend of Zelda: Spirit Tracks	8.7	Nintendo	Nintendo
Professor Layton and the Unwound Future	8.7	Level 5	Nintendo
Pokemon White Version	8.7	Game Freak	Nintendo
Pokemon Black Version	8.7	Game Freak	Nintendo
Inazuma Eleven 2: Firestorm	8.7	Level 5	Level 5
Elite Beat Agents	8.7	iNiS	Nintendo
Dragon Quest IX: Sentinels of the Starry Skies	8.7	Level 5	Nintendo
America's Test Kitchen: Let's Get Cooking	8.7	indieszero	Nintendo
Solatorobo: Red the Hunter	8.6	CyberConnect2	XSEED Games
Pokemon Mystery Dungeon: Explorers of Darkness	8.6	ChunSoft	Nintendo
Planet Puzzle League	8.6	Intelligent Systems	Nintendo
Mario & Luigi: Partners in Time	8.6	Alphadream Corporation	Nintendo
Kirby: Canvas Curse	8.6	HAL Labs	Nintendo
Garfield's Nightmare	8.6	Shin'en	The Game Factory
Final Fantasy: The 4 Heroes of Light	8.6	Matrix Software	Square Enix
Animal Crossing: Wild World	8.6	Nintendo	Nintendo
Advance Wars: Days of Ruin	8.6	Intelligent Systems	Nintendo
The Legend of Zelda: Four Swords Anniversary Edition	8.5	GREZZO	Nintendo
Professor Layton and the Curious Village	8.5	Level 5	Nintendo
Pokemon Pearl Version	8.5	Game Freak	Nintendo
Pokemon Mystery Dungeon: Explorers of Time	8.5	ChunSoft	Nintendo
Pokemon Diamond Version	8.5	Game Freak	Nintendo
Metroid Prime: Hunters	8.5	Nintendo Software Technology	Nintendo
Hotel Dusk: Room 215	8.5	Cing	Nintendo
Castlevania: Portrait of Ruin	8.5	Konami	Konami
Tetris DS	8.4	Nintendo	Nintendo
Spotto!	8.4	Intelligent Systems	Nintendo
Shin Megami Tensei: Devil Survivor	8.4	Atlus	Atlus
Rune Factory 3: A Fantasy Harvest Moon	8.4	Neverland	Natsume
Professor Layton and the Diabolical Box	8.4	Level 5	Nintendo
Peggle: Dual Shot	8.4	Q Entertainment	PopCap
Izuna: Legend of the Unemployed Ninja	8.4	Ninja Studio	Atlus
Inazuma Eleven 2: Blizzard	8.4	Level 5	Level 5
Etrian Odyssey III: The Drowned City	8.4	Atlus	Atlus
Cooking Mama 2: Dinner With Friends	8.4	Office Create	Majesco
Yu-Gi-Oh! 5D's World Championship 2010: Reverse of Arcadia	8.3	Konami	Konami
Viewtiful Joe: Double Trouble!	8.3	Clover Studio	Capcom
Super Scribblenauts	8.3	5TH Cell	Warner Bros. Interactive Entertainment
Spider-Man: Shattered Dimensions (2010)	8.3	Griptonite Games	Activision
Rhythm Heaven	8.3	Nintendo	Nintendo
Professor Layton and the Last Specter	8.3	Level 5	Nintendo
Picross DS	8.3	Jupiter Corporation	Nintendo
Picross 3D	8.3	HAL Labs	Nintendo
Nintendogs: Lab & Friends	8.3	Nintendo	Nintendo
Nintendogs: Dalmatian & Friends	8.3	Nintendo	Nintendo
Nintendogs: Dachshund & Friends	8.3	Nintendo	Nintendo
Nintendogs: Chihuahua & Friends	8.3	Nintendo	Nintendo
Ninja Gaiden: Dragon Sword	8.3	Team Ninja	Tecmo
Mega Man Zero Collection	8.3	Inti Creates	Capcom
Luminous Arc 2	8.3	Imageepoch	Atlus
Kirby Mass Attack	8.3	HAL Labs	Nintendo
